4.971854184596576770e-02,3.551324417568983011e-02,4.971854184596576900e-04,1.136423813622074782e-03,6.122483295888927479e-01,1.860893994806147311e-01,6.697797851535102209e-01,3.622350905920362907e-02,5.824172044813132054e-02,3.622350905920362907e-01,4.758774719542437776e-02,0.000000000000000000e+00
1.033577664517515947e-02,5.906158082957234726e-03,2.953079041478617403e-05,1.919501376961101329e-04,1.337744805789813363e-01,5.226949903417152377e-02,9.879525933266714022e-01,9.892814788953367688e-03,2.657771137330755540e-02,4.872580418439718258e-02,1.328885568665377727e-03,0.000000000000000000e+00
1.006841593509899373e-02,5.753380534342282006e-03,2.876690267171141098e-05,2.157517700378355806e-04,1.303140691028526754e-01,6.285568233768944191e-02,9.879992722599284516e-01,9.636912395023324029e-03,2.099983895034933032e-02,4.746538940832382980e-02,1.869848673661241934e-03,0.000000000000000000e+00
5.039627250334556552e-02,3.779720437750917761e-02,4.409673844042737742e-04,1.007925450066911267e-03,5.776672735695985716e-01,2.097744842951758948e-01,4.882138898761601564e-01,5.669580656626375947e-02,5.228613272222103203e-02,6.110548041030650079e-01,2.519813625167278276e-02,1.259906812583639138e-03
4.530748375612008577e-02,3.398061281709006259e-02,3.964404828660507657e-04,9.627840298175518053e-04,5.057447874276903566e-01,2.905342395861200133e-01,5.788031049844341025e-01,5.436898050734409460e-02,6.456316435247111407e-02,5.606801114819860432e-01,1.019418384512701947e-02,0.000000000000000000e+00
1.582317790403585389e-02,1.186738342802689042e-02,7.911588952017928247e-04,3.362425304607619559e-04,1.825599150678136606e-01,1.687146344017823041e-01,9.652138521461871568e-01,2.907508939866587996e-02,4.390931868369949559e-02,5.735901990212997209e-02,1.068064508522420172e-02,0.000000000000000000e+00
1.558374737427770280e-02,1.168781053070827754e-02,7.791873687138851402e-04,2.727155790498597991e-04,1.797974853307289789e-01,1.731743926966609892e-01,9.654131498365037256e-01,1.655773158517005739e-02,4.694603896501158002e-02,5.259514738818724805e-02,6.038702107532609512e-03,0.000000000000000000e+00
1.253832003081780007e-02,9.403740023113348750e-03,6.269160015408899601e-04,2.194206005393115131e-04,1.434070353524785901e-01,2.278839665601135045e-01,9.532257803429232679e-01,1.677000304121880475e-02,1.253832003081780007e-02,1.347869403312913494e-01,3.448038008474894889e-03,0.000000000000000000e+00
1.121252434338256172e-02,8.409393257536921726e-03,5.045635954522152862e-04,1.822035205799666161e-04,1.275424644059766355e-01,1.815027378085052046e-01,9.707242950283452299e-01,9.810958800459741724e-03,1.836050861228894285e-02,8.829862920413766858e-02,7.568453931783229727e-03,0.000000000000000000e+00
9.834772714386975229e-03,7.024837653133554106e-03,5.057883110256158150e-04,2.107451295940066167e-04,1.299594965829707349e-01,1.236371426951505537e-01,9.815103168958201341e-01,9.975269467449645114e-03,3.203325969828900444e-02,5.619870122506843285e-02,5.619870122506843112e-03,0.000000000000000000e+00
